X,Y,y1,y2,y3,y4,y5,y6,y7,y8
1276.25,3299.69,1278.16,3188.44,1280.08,3109.84,1281.99,3044.36,1283.9,2999.72
1285.82,3079.2,1287.73,3178.77,1289.64,3259.46,1291.56,3429.4,1293.47,3581.7
1295.38,3736.52,1297.3,3889.84,1299.21,4066.23,1301.12,4310.4,1303.04,4613.85
1304.95,5037.1,1306.86,5291.71,1308.78,5366.25,1310.69,5143.51,1312.6,4918.17
1314.52,4650.83,1316.43,4374.61,1318.35,4111.77,1320.26,3925.73,1322.17,3826.7
1324.09,3729.68,1326,3660.67,1327.91,3571.03,1329.83,3562.51,1331.74,3440.74
1333.65,3313.15,1335.57,3179.04,1337.48,3086.59,1339.39,3031.72,,
1341.31,2994.82,1343.22,2973.54,1345.13,2981.5,1347.05,3032.07,1348.96,3108.77
1350.87,3143.94,1352.79,3192.14,1354.7,3289.7,1356.61,3421.29,1358.53,3504.21
1360.44,3592.93,1362.35,3645.17,1364.27,3679,1366.18,3687.86,1368.09,3663.46
1370.01,3674.11,1371.92,3608.29,1373.83,3602.04,1375.75,3581.33,,
1377.66,3492.02,1379.57,3404.82,1381.49,3323.77,1383.4,3269.41,1385.31,3176.28
1387.23,3059.71,1389.14,2990.5,1391.05,2967.3,1392.97,2938.34,1394.88,2920.8
1396.79,2902.72,1398.71,2859.91,1400.62,2906.7,1402.53,2911.87,1404.45,2917.47
1406.36,2922.18,1408.27,2949.87,1410.19,2974.15,1412.1,3008.58,1414.01,3023.31
1415.93,3031.39,1417.84,3117.09,1419.75,3155.51,1421.67,3267.19,,
1423.58,3415.73,1425.49,3731.68,1427.41,4164.59,1429.32,4573.29,,
1431.23,5045.58,1433.15,5422.97,1435.06,5708.24,1436.97,5869.61,,
1438.89,5937.16,1440.8,5993.38,1442.71,5969.62,1444.63,5776.58,1446.54,5562.06
1448.45,5329.17,1450.37,5104.5,1452.28,5002.12,1454.2,4931.48,1456.11,4855.36
1458.02,4760.77,1459.94,4727.77,1461.85,4670.21,1463.76,4606.31,,
1465.68,4564.49,1467.59,4498.82,1469.5,4427.9,1471.42,4332.15,1473.33,4213.69
1475.24,4164.29,1477.16,3879.77,1479.07,3807.24,1480.98,3654.49,1482.9,3483.12
